device_id,timestamp,sensor_type,reading_value,unit,location
SENSOR_014,2026-08-01T00:51:00,battery,53.92,%batt,warehouse_c
SENSOR_016,2026-08-01T00:52:00,battery,78.46,%batt,warehouse_b
SENSOR_007,2026-08-01T00:53:00,humidity,9.69,%,warehouse_b
SENSOR_028,2026-08-01T00:54:00,pressure,991.11,hPa,warehouse_c
SENSOR_044,2026-08-01T00:55:00,temperature,,C,warehouse_c
SENSOR_004,2026-08-01T00:56:00,temperature,12.14,C,warehouse_b
SENSOR_016,2026-08-01T00:57:00,temperature,0.54,C,warehouse_c
SENSOR_009,2026-08-01T00:58:00,battery,42.19,%batt,warehouse_b
SENSOR_016,2026-08-01T00:59:00,battery,87.45,%batt,warehouse_a
SENSOR_036,2026-08-01T01:00:00,battery,9.79,%batt,warehouse_c
SENSOR_006,2026-08-01T01:01:00,temperature,40.95,C,warehouse_a
SENSOR_027,2026-08-01T01:02:00,humidity,48.56,%,warehouse_a
SENSOR_004,2026-08-01T01:03:00,battery,16.46,%batt,warehouse_a
SENSOR_017,2026-08-01T01:04:00,battery,92.65,%batt,warehouse_b
SENSOR_028,2026-08-01T01:05:00,pressure,1019.66,hPa,warehouse_c
SENSOR_010,2026-08-01T01:06:00,battery,18.99,%batt,warehouse_a
SENSOR_038,2026-08-01T01:07:00,temperature,30.47,C,warehouse_a
SENSOR_004,2026-08-01T01:08:00,pressure,,hPa,warehouse_b
SENSOR_004,2026-08-01T01:09:00,humidity,96.08,%,warehouse_a
SENSOR_005,2026-08-01T01:10:00,humidity,59.5,%,warehouse_c
SENSOR_026,2026-08-01T01:10:00,humidity,11.99,%,warehouse_c
SENSOR_038,2026-08-01T01:12:00,humidity,59.45,%,warehouse_c
SENSOR_027,2026-08-01T01:13:00,temperature,ERROR,C,warehouse_c
SENSOR_017,2026-08-01T01:14:00,pressure,970.43,hPa,warehouse_c
SENSOR_016,2026-08-01T01:15:00,pressure,976.56,hPa,warehouse_a
SENSOR_030,2026-08-01T01:16:00,pressure,981.62,hPa,warehouse_a
SENSOR_030,2026-08-01T01:16:00,temperature,24.16,C,warehouse_c
SENSOR_005,2026-08-01T01:18:00,temperature,19.57,C,warehouse_c
SENSOR_009,2026-08-01T01:19:00,pressure,1043.33,hPa,warehouse_a
SENSOR_024,2026-08-01T01:20:00,humidity,28.5,%,warehouse_b
SENSOR_040,2026-08-01T01:21:00,pressure,1048.39,hPa,warehouse_c
SENSOR_043,2026-08-01T01:22:00,temperature,34.94,C,warehouse_b
SENSOR_009,2026-08-01T01:23:00,temperature,4.55,C,warehouse_a
SENSOR_018,2026-08-01T01:24:00,humidity,28.18,%,warehouse_a
SENSOR_014,2026-08-01T01:25:00,pressure,1018.75,hPa,warehouse_b
SENSOR_017,2026-08-01T01:26:00,battery,90.53,%batt,warehouse_a
SENSOR_041,2026-08-01T01:27:00,temperature,13.3,C,warehouse_b
SENSOR_001,2026-08-01T01:28:00,temperature,8.35,C,warehouse_a
SENSOR_011,2026-08-01T01:29:00,pressure,1024.12,hPa,warehouse_c
SENSOR_036,2026-08-01T01:30:00,battery,0.97,%batt,warehouse_a
SENSOR_035,2026-08-01T01:31:00,humidity,3.6,%,warehouse_b
SENSOR_028,2026-08-01T01:32:00,humidity,12.74,%,warehouse_b
SENSOR_003,2026-08-01T01:33:00,pressure,1039.89,hPa,warehouse_a
SENSOR_043,2026-08-01T01:34:00,humidity,10.28,%,warehouse_c
SENSOR_040,2026-08-01T01:35:00,battery,74.95,%batt,warehouse_a
SENSOR_012,2026-08-01T01:36:00,humidity,88.14,%,warehouse_a
SENSOR_048,2026-08-01T01:37:00,humidity,92.45,%,warehouse_b
SENSOR_018,2026-08-01T01:38:00,humidity,15.92,%,warehouse_c
SENSOR_025,2026-08-01T01:39:00,temperature,993.56,C,warehouse_b
SENSOR_013,2026-08-01T01:40:00,humidity,81.66,%,warehouse_b
SENSOR_020,2026-08-01T01:41:00,pressure,ERROR,hPa,warehouse_a
SENSOR_002,2026-08-01T01:42:00,humidity,66.0,%,warehouse_b
SENSOR_018,2026-08-01T01:43:00,pressure,1036.44,hPa,warehouse_b
SENSOR_042,2026-08-01T01:44:00,pressure,1000.94,hPa,warehouse_c
SENSOR_002,2026-08-01T01:45:00,pressure,961.53,hPa,warehouse_b
SENSOR_038,2026-08-01T01:46:00,humidity,96.25,%,warehouse_b
SENSOR_007,2026-08-01T01:47:00,temperature,22.81,C,warehouse_b
SENSOR_028,2026-08-01T01:48:00,pressure,1010.62,hPa,warehouse_c
SENSOR_025,2026-08-01T01:49:00,temperature,39.47,C,warehouse_a
,2026-08-01T01:50:00,pressure,1020.88,hPa,warehouse_a
SENSOR_024,2026-08-01T01:51:00,humidity,43.13,%,warehouse_c
SENSOR_040,2026-08-01T01:52:00,pressure,981.39,hPa,warehouse_a
SENSOR_033,2026-08-01T01:53:00,pressure,980.93,hPa,warehouse_b
SENSOR_026,2026-08-01T01:54:00,pressure,1019.72,hPa,warehouse_c
SENSOR_013,2026-08-01T01:55:00,humidity,42.04,%,warehouse_b
SENSOR_040,2026-08-01T01:56:00,humidity,56.91,%,warehouse_b
SENSOR_020,2026-08-01T01:57:00,temperature,5.78,C,warehouse_b
SENSOR_030,2026-08-01T01:58:00,pressure,994.18,hPa,warehouse_c
SENSOR_033,2026-08-01T01:59:00,humidity,47.32,%,warehouse_c
SENSOR_043,2026-08-01T02:00:00,humidity,8.48,%,warehouse_c
SENSOR_006,2026-08-01T02:01:00,pressure,1031.84,hPa,warehouse_a
SENSOR_015,2026-08-01T02:02:00,pressure,1030.66,hPa,warehouse_a
,2026-08-01T02:03:00,temperature,3.47,C,warehouse_b
SENSOR_030,2026-08-01T02:04:00,temperature,12.79,C,warehouse_c
SENSOR_046,2026-08-01T02:05:00,humidity,69.64,%,warehouse_b
SENSOR_016,2026-08-01T02:06:00,battery,14.76,%batt,warehouse_c
SENSOR_049,2026-08-01T02:07:00,temperature,37.32,C,warehouse_a
SENSOR_015,2026-08-01T02:08:00,battery,17.59,%batt,warehouse_c
SENSOR_004,2026-08-01T02:09:00,battery,55.74,%batt,warehouse_a
SENSOR_009,2026-08-01T02:10:00,battery,80.14,%batt,warehouse_c
SENSOR_049,2026-08-01T02:11:00,pressure,1039.14,hPa,warehouse_c
SENSOR_036,2026-08-01T02:12:00,battery,44.59,%batt,warehouse_a
SENSOR_029,2026-08-01T02:13:00,battery,25.92,%batt,warehouse_a
SENSOR_050,2026-08-01T02:14:00,pressure,1027.77,hPa,warehouse_b
SENSOR_018,2026-08-01T02:15:00,humidity,,%,warehouse_c
SENSOR_016,2026-08-01T02:16:00,pressure,977.17,hPa,warehouse_b
SENSOR_009,2026-08-01T02:17:00,temperature,-1.7,C,warehouse_b
SENSOR_046,2026-08-01T02:18:00,humidity,21.4,%,warehouse_b
SENSOR_022,2026-08-01T02:19:00,battery,54.26,%batt,warehouse_b
SENSOR_014,2026-08-01T02:20:00,temperature,35.81,C,warehouse_b
SENSOR_049,2026-08-01T02:21:00,temperature,21.66,C,warehouse_b
SENSOR_023,2026-08-01T02:22:00,temperature,6.42,C,warehouse_b
SENSOR_035,2026-08-01T02:23:00,battery,74.75,%batt,warehouse_c
,2026-08-01T02:24:00,humidity,21.94,%,warehouse_b
SENSOR_002,2026-08-01T02:25:00,battery,38.89,%batt,warehouse_c
SENSOR_047,2026-08-01T02:26:00,battery,,%batt,warehouse_b
SENSOR_040,2026-08-01T02:27:00,humidity,986.57,%,warehouse_b
SENSOR_006,2026-08-01T02:28:00,temperature,25.35,C,warehouse_a
SENSOR_012,2026-08-01T02:29:00,battery,5.03,%batt,warehouse_b
SENSOR_014,2026-08-01T02:30:00,pressure,995.47,hPa,warehouse_b
SENSOR_018,2026-08-01T02:31:00,battery,75.2,%batt,warehouse_b
SENSOR_006,2026-08-01T02:32:00,pressure,997.03,hPa,warehouse_c
SENSOR_023,2026-08-01T02:33:00,temperature,2.33,C,warehouse_a
SENSOR_049,2026-08-01T02:34:00,temperature,-8.29,C,warehouse_a
SENSOR_002,2026-08-01T02:35:00,humidity,62.13,%,warehouse_a
SENSOR_031,2026-08-01T02:36:00,humidity,66.95,%,warehouse_c
SENSOR_030,2026-08-01T02:37:00,humidity,69.95,%,warehouse_b
SENSOR_039,2026-08-01T02:38:00,humidity,60.72,%,warehouse_c
SENSOR_050,2026-08-01T02:39:00,temperature,35.06,C,warehouse_b
SENSOR_038,2026-08-01T02:40:00,temperature,-8.59,C,warehouse_b
SENSOR_026,2026-08-01T02:41:00,battery,94.15,%batt,warehouse_a
SENSOR_038,2026-08-01T02:42:00,temperature,27.98,C,warehouse_c
SENSOR_007,2026-08-01T02:43:00,humidity,69.72,%,warehouse_b
SENSOR_037,2026-08-01T02:44:00,temperature,33.04,C,warehouse_b
SENSOR_043,2026-08-01T02:45:00,battery,37.06,%batt,warehouse_c
SENSOR_001,2026-08-01T02:46:00,pressure,1034.96,hPa,warehouse_b
SENSOR_028,2026-08-01T02:47:00,temperature,42.84,C,warehouse_c
SENSOR_046,2026-08-01T02:48:00,battery,15.3,%batt,warehouse_a
SENSOR_040,2026-08-01T02:49:00,pressure,1030.82,hPa,warehouse_c
SENSOR_030,2026-08-01T02:50:00,battery,43.56,%batt,warehouse_c
SENSOR_021,2026-08-01T02:50:00,pressure,1035.17,hPa,warehouse_a
SENSOR_029,2026-08-01T02:52:00,pressure,974.39,hPa,warehouse_b
SENSOR_022,2026-08-01T02:53:00,battery,2.87,%batt,warehouse_b
SENSOR_032,2026-08-01T02:54:00,humidity,21.21,%,warehouse_b
SENSOR_018,2026-08-01T02:55:00,pressure,1038.03,hPa,warehouse_c
SENSOR_036,2026-08-01T02:56:00,pressure,951.02,hPa,warehouse_a
SENSOR_016,2026-08-01T02:57:00,temperature,29.6,C,warehouse_b
SENSOR_045,2026-08-01T02:58:00,humidity,47.61,%,warehouse_c
SENSOR_029,2026-08-01T02:59:00,battery,79.29,%batt,warehouse_a
,2026-08-01T03:00:00,pressure,990.44,hPa,warehouse_a
SENSOR_043,2026-08-01T03:01:00,pressure,1008.16,hPa,warehouse_b
SENSOR_028,2026-08-01T03:02:00,pressure,1049.66,hPa,warehouse_c
SENSOR_023,2026-08-01T03:03:00,pressure,1020.29,hPa,warehouse_b
SENSOR_017,2026-08-01T03:04:00,pressure,973.05,hPa,warehouse_c
SENSOR_021,2026-08-01T03:05:00,humidity,839.52,%,warehouse_c
SENSOR_013,2026-08-01T03:06:00,humidity,21.64,%,warehouse_b
SENSOR_047,2026-08-01T03:07:00,pressure,,hPa,warehouse_c
SENSOR_007,2026-08-01T03:08:00,pressure,1033.26,hPa,warehouse_b
SENSOR_024,2026-08-01T03:09:00,humidity,17.94,%,warehouse_a
SENSOR_018,2026-08-01T03:10:00,humidity,4.55,%,warehouse_a
SENSOR_045,2026-08-01T03:11:00,pressure,1044.41,hPa,warehouse_c
SENSOR_007,2026-08-01T03:12:00,battery,87.27,%batt,warehouse_c
SENSOR_031,2026-08-01T03:13:00,pressure,997.87,hPa,warehouse_b
SENSOR_004,2026-08-01T03:14:00,humidity,25.25,%,warehouse_b
SENSOR_005,2026-08-01T03:15:00,temperature,12.04,C,warehouse_a
SENSOR_010,2026-08-01T03:16:00,temperature,-1.79,C,warehouse_c
SENSOR_006,2026-08-01T03:17:00,pressure,896.65,hPa,warehouse_a
SENSOR_039,2026-08-01T03:18:00,battery,59.61,%batt,warehouse_c
SENSOR_050,2026-08-01T03:19:00,humidity,52.26,%,warehouse_b
SENSOR_020,2026-08-01T03:20:00,battery,86.02,%batt,warehouse_b
,2026-08-01T03:21:00,pressure,1012.1,hPa,warehouse_c
SENSOR_049,2026-08-01T03:22:00,temperature,1.43,C,warehouse_a
SENSOR_043,2026-08-01T03:23:00,pressure,958.12,hPa,warehouse_a
SENSOR_036,2026-08-01T03:24:00,humidity,7.51,%,warehouse_a
SENSOR_029,2026-08-01T03:25:00,battery,ERROR,%batt,warehouse_b
SENSOR_003,2026-08-01T03:26:00,pressure,,hPa,warehouse_c
SENSOR_045,2026-08-01T03:27:00,pressure,1035.96,hPa,warehouse_a
SENSOR_017,2026-08-01T03:28:00,humidity,78.78,%,warehouse_c
SENSOR_028,2026-08-01T03:29:00,humidity,11.48,%,warehouse_a
SENSOR_018,2026-08-01T03:30:00,humidity,82.66,%,warehouse_a
SENSOR_011,2026-08-01T03:31:00,temperature,33.59,C,warehouse_c
SENSOR_029,2026-08-01T03:32:00,pressure,962.44,hPa,warehouse_c
SENSOR_045,2026-08-01T03:33:00,pressure,990.25,hPa,warehouse_b
SENSOR_029,2026-08-01T03:34:00,battery,8.04,%batt,warehouse_a
SENSOR_048,2026-08-01T03:35:00,battery,32.23,%batt,warehouse_b
SENSOR_006,2026-08-01T03:36:00,temperature,2.59,C,warehouse_c
SENSOR_049,2026-08-01T03:37:00,temperature,26.98,C,warehouse_b
SENSOR_049,2026-08-01T03:38:00,temperature,31.59,C,warehouse_b
SENSOR_018,2026-08-01T03:39:00,battery,18.15,%batt,warehouse_c
SENSOR_041,2026-08-01T03:40:00,battery,,%batt,warehouse_a
SENSOR_023,2026-08-01T03:41:00,battery,40.83,%batt,warehouse_b
SENSOR_011,2026-08-01T03:42:00,temperature,8.14,C,warehouse_c
SENSOR_019,2026-08-01T03:43:00,battery,66.26,%batt,warehouse_b
SENSOR_030,2026-08-01T03:44:00,temperature,-5.16,C,warehouse_b
SENSOR_008,2026-08-01T03:45:00,pressure,1047.02,hPa,warehouse_b
SENSOR_043,2026-08-01T03:46:00,temperature,37.82,C,warehouse_b
SENSOR_004,2026-08-01T03:47:00,battery,18.76,%batt,warehouse_b
SENSOR_041,2026-08-01T03:48:00,battery,44.2,%batt,warehouse_a
SENSOR_018,2026-08-01T03:49:00,humidity,54.92,%,warehouse_b
SENSOR_045,2026-08-01T03:50:00,battery,968.54,%batt,warehouse_a
SENSOR_046,2026-08-01T03:51:00,humidity,15.84,%,warehouse_c
SENSOR_036,2026-08-01T03:52:00,temperature,12.44,C,warehouse_a
SENSOR_030,2026-08-01T03:53:00,temperature,42.09,C,warehouse_c
,2026-08-01T03:53:00,humidity,93.27,%,warehouse_b
SENSOR_027,2026-08-01T03:55:00,pressure,1033.47,hPa,warehouse_b
SENSOR_030,2026-08-01T03:56:00,humidity,55.13,%,warehouse_b
SENSOR_039,2026-08-01T03:57:00,humidity,50.82,%,warehouse_a
SENSOR_018,2026-08-01T03:58:00,temperature,32.5,C,warehouse_b
SENSOR_033,2026-08-01T03:59:00,pressure,976.72,hPa,warehouse_a
SENSOR_047,2026-08-01T04:00:00,pressure,,hPa,warehouse_c
SENSOR_010,2026-08-01T04:01:00,battery,44.65,%batt,warehouse_b
SENSOR_022,2026-08-01T04:02:00,pressure,1005.19,hPa,warehouse_c
SENSOR_030,2026-08-01T04:02:00,battery,93.29,%batt,warehouse_a
SENSOR_037,2026-08-01T04:04:00,humidity,38.3,%,warehouse_b
SENSOR_021,2026-08-01T04:05:00,temperature,30.96,C,warehouse_c
SENSOR_025,2026-08-01T04:06:00,battery,98.84,%batt,warehouse_c
SENSOR_032,2026-08-01T04:07:00,humidity,96.48,%,warehouse_a
SENSOR_007,2026-08-01T04:08:00,pressure,1037.42,hPa,warehouse_b
SENSOR_034,2026-08-01T04:09:00,temperature,40.07,C,warehouse_a
SENSOR_027,2026-08-01T04:10:00,humidity,87.09,%,warehouse_a
SENSOR_031,2026-08-01T04:11:00,temperature,32.98,C,warehouse_b
SENSOR_040,2026-08-01T04:12:00,pressure,1019.27,hPa,warehouse_c
,2026-08-01T04:13:00,temperature,36.88,C,warehouse_c
SENSOR_021,2026-08-01T04:14:00,battery,62.68,%batt,warehouse_b
SENSOR_040,2026-08-01T04:15:00,temperature,-6.24,C,warehouse_c
SENSOR_015,2026-08-01T04:16:00,pressure,ERROR,hPa,warehouse_b
SENSOR_049,2026-08-01T04:17:00,temperature,24.86,C,warehouse_a
,2026-08-01T04:18:00,battery,669.2,%batt,warehouse_a
SENSOR_021,2026-08-01T04:19:00,temperature,33.79,C,warehouse_b
SENSOR_024,2026-08-01T04:20:00,pressure,ERROR,hPa,warehouse_a
SENSOR_037,2026-08-01T04:21:00,battery,68.18,%batt,warehouse_a
SENSOR_012,2026-08-01T04:22:00,humidity,7.9,%,warehouse_b
SENSOR_032,2026-08-01T04:23:00,humidity,91.28,%,warehouse_a
SENSOR_030,2026-08-01T04:24:00,humidity,63.79,%,warehouse_b
SENSOR_043,2026-08-01T04:25:00,pressure,950.94,hPa,warehouse_b
SENSOR_044,2026-08-01T04:25:00,pressure,1004.66,hPa,warehouse_a
SENSOR_023,2026-08-01T04:27:00,battery,98.77,%batt,warehouse_b
SENSOR_045,2026-08-01T04:28:00,battery,25.01,%batt,warehouse_b
SENSOR_025,2026-08-01T04:29:00,humidity,85.33,%,warehouse_a
SENSOR_025,2026-08-01T04:30:00,humidity,57.19,%,warehouse_c
SENSOR_045,2026-08-01T04:31:00,pressure,979.52,hPa,warehouse_c
SENSOR_018,2026-08-01T04:32:00,battery,0.81,%batt,warehouse_c
SENSOR_039,2026-08-01T04:33:00,temperature,30.98,C,warehouse_b
SENSOR_039,2026-08-01T04:34:00,humidity,,%,warehouse_a
SENSOR_040,2026-08-01T04:35:00,humidity,25.06,%,warehouse_c
SENSOR_041,2026-08-01T04:36:00,humidity,9.72,%,warehouse_c
SENSOR_020,2026-08-01T04:37:00,temperature,33.37,C,warehouse_a
SENSOR_047,2026-08-01T04:38:00,pressure,963.14,hPa,warehouse_b
SENSOR_048,2026-08-01T04:39:00,pressure,991.55,hPa,warehouse_a
SENSOR_035,2026-08-01T04:40:00,humidity,87.65,%,warehouse_b
SENSOR_011,2026-08-01T04:41:00,pressure,975.7,hPa,warehouse_b
SENSOR_048,2026-08-01T04:42:00,pressure,1037.04,hPa,warehouse_a
SENSOR_005,2026-08-01T04:43:00,battery,559.29,%batt,warehouse_a
SENSOR_036,2026-08-01T04:44:00,battery,36.58,%batt,warehouse_b
SENSOR_017,2026-08-01T04:45:00,temperature,19.51,C,warehouse_b
SENSOR_044,2026-08-01T04:46:00,pressure,1024.9,hPa,warehouse_b
SENSOR_041,2026-08-01T04:47:00,battery,639.58,%batt,warehouse_a
SENSOR_031,2026-08-01T04:48:00,humidity,2.5,%,warehouse_c
SENSOR_040,2026-08-01T04:49:00,pressure,972.14,hPa,warehouse_a
SENSOR_045,2026-08-01T04:50:00,battery,30.22,%batt,warehouse_b
SENSOR_009,2026-08-01T04:51:00,temperature,881.44,C,warehouse_a
SENSOR_032,2026-08-01T04:52:00,pressure,961.61,hPa,warehouse_a
SENSOR_025,2026-08-01T04:53:00,humidity,45.36,%,warehouse_c
SENSOR_038,2026-08-01T04:54:00,battery,74.23,%batt,warehouse_a
SENSOR_042,2026-08-01T04:55:00,battery,9.9,%batt,warehouse_b
SENSOR_018,2026-08-01T04:56:00,battery,3.27,%batt,warehouse_b
SENSOR_029,2026-08-01T04:57:00,humidity,44.47,%,warehouse_a
,2026-08-01T04:58:00,pressure,1048.09,hPa,warehouse_b
SENSOR_004,2026-08-01T04:59:00,pressure,989.81,hPa,warehouse_a
SENSOR_030,2026-08-01T05:00:00,temperature,-4.96,C,warehouse_a
SENSOR_004,2026-08-01T05:01:00,temperature,33.27,C,warehouse_a
SENSOR_037,2026-08-01T05:02:00,humidity,20.52,%,warehouse_c
SENSOR_038,2026-08-01T05:03:00,humidity,21.6,%,warehouse_a
SENSOR_050,2026-08-01T05:04:00,pressure,964.76,hPa,warehouse_c
,2026-08-01T05:05:00,temperature,37.21,C,warehouse_a
SENSOR_035,2026-08-01T05:06:00,humidity,25.07,%,warehouse_a
SENSOR_043,2026-08-01T05:07:00,temperature,37.65,C,warehouse_a
SENSOR_023,2026-08-01T05:08:00,temperature,ERROR,C,warehouse_a
SENSOR_002,2026-08-01T05:09:00,pressure,967.42,hPa,warehouse_a
SENSOR_048,2026-08-01T05:10:00,humidity,42.1,%,warehouse_a
SENSOR_031,2026-08-01T05:10:00,temperature,14.66,C,warehouse_b
SENSOR_029,2026-08-01T05:12:00,temperature,17.71,C,warehouse_c
SENSOR_047,2026-08-01T05:13:00,temperature,33.08,C,warehouse_c
SENSOR_030,2026-08-01T05:14:00,pressure,1014.33,hPa,warehouse_a
SENSOR_031,2026-08-01T05:15:00,temperature,36.6,C,warehouse_b
SENSOR_032,2026-08-01T05:16:00,temperature,29.18,C,warehouse_b
SENSOR_006,2026-08-01T05:17:00,temperature,7.72,C,warehouse_a
SENSOR_009,2026-08-01T05:18:00,temperature,5.13,C,warehouse_c
SENSOR_025,2026-08-01T05:19:00,pressure,1049.46,hPa,warehouse_c
SENSOR_030,2026-08-01T05:20:00,pressure,1000.56,hPa,warehouse_b
SENSOR_045,2026-08-01T05:21:00,temperature,-3.71,C,warehouse_c
SENSOR_028,2026-08-01T05:22:00,humidity,45.16,%,warehouse_a
SENSOR_022,2026-08-01T05:23:00,battery,82.74,%batt,warehouse_b
SENSOR_047,2026-08-01T05:24:00,battery,9.51,%batt,warehouse_b
SENSOR_043,2026-08-01T05:25:00,pressure,975.49,hPa,warehouse_a
SENSOR_005,2026-08-01T05:26:00,battery,9.12,%batt,warehouse_a
SENSOR_028,2026-08-01T05:27:00,temperature,-4.69,C,warehouse_c
SENSOR_009,2026-08-01T05:28:00,pressure,1005.64,hPa,warehouse_c
SENSOR_043,2026-08-01T05:29:00,pressure,962.22,hPa,warehouse_b
SENSOR_047,2026-08-01T05:30:00,battery,5.14,%batt,warehouse_b
SENSOR_023,2026-08-01T05:31:00,pressure,960.36,hPa,warehouse_c
SENSOR_010,2026-08-01T05:32:00,humidity,65.67,%,warehouse_a
SENSOR_023,2026-08-01T05:33:00,temperature,36.5,C,warehouse_b
SENSOR_049,2026-08-01T05:34:00,temperature,,C,warehouse_a
SENSOR_036,2026-08-01T05:35:00,battery,97.45,%batt,warehouse_c
SENSOR_039,2026-08-01T05:36:00,temperature,41.1,C,warehouse_c
SENSOR_002,2026-08-01T05:37:00,pressure,968.04,hPa,warehouse_c
SENSOR_022,2026-08-01T05:38:00,pressure,985.1,hPa,warehouse_a
SENSOR_037,2026-08-01T05:39:00,humidity,65.73,%,warehouse_a
SENSOR_048,2026-08-01T05:40:00,humidity,63.32,%,warehouse_a
SENSOR_048,2026-08-01T05:41:00,temperature,19.18,C,warehouse_b
SENSOR_030,2026-08-01T05:42:00,battery,34.09,%batt,warehouse_b
SENSOR_047,2026-08-01T05:43:00,pressure,982.44,hPa,warehouse_c
SENSOR_004,2026-08-01T05:44:00,temperature,,C,warehouse_c
SENSOR_044,2026-08-01T05:45:00,temperature,-5.51,C,warehouse_b
SENSOR_032,2026-08-01T05:46:00,battery,60.71,%batt,warehouse_b
SENSOR_014,2026-08-01T05:47:00,pressure,1025.49,hPa,warehouse_a
SENSOR_028,2026-08-01T05:48:00,pressure,961.09,hPa,warehouse_c
SENSOR_034,2026-08-01T05:49:00,battery,66.71,%batt,warehouse_a
SENSOR_026,2026-08-01T05:50:00,humidity,98.44,%,warehouse_a
SENSOR_014,2026-08-01T05:51:00,temperature,6.58,C,warehouse_a
SENSOR_049,2026-08-01T05:52:00,humidity,25.55,%,warehouse_b
SENSOR_001,2026-08-01T05:53:00,temperature,17.36,C,warehouse_b
SENSOR_009,2026-08-01T05:54:00,humidity,38.02,%,warehouse_c
SENSOR_033,2026-08-01T05:55:00,humidity,55.87,%,warehouse_c
SENSOR_005,2026-08-01T05:56:00,pressure,989.71,hPa,warehouse_c
SENSOR_028,2026-08-01T05:57:00,temperature,-8.97,C,warehouse_a
SENSOR_037,2026-08-01T05:58:00,pressure,992.93,hPa,warehouse_b
SENSOR_019,2026-08-01T05:59:00,battery,11.52,%batt,warehouse_a
SENSOR_011,2026-08-01T06:00:00,pressure,1030.13,hPa,warehouse_c
